text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
Depois da facada fake será que estamos vivendo o covid fake?,1086299945781641216,1280570090040315905,2020-07-07 18:31:15,Twitter for Android,1280570090040315905,a052855c6f317b04,0.0,0.0,7.0,0.0,,,
"Vereador bolsonarista, contra o isolamento social, testa positivo para covid e fica em pânico, tem alta de pressão e vai parar no hospital. Confere?",1086299945781641216,1276353372803792897,2020-06-26 03:15:32,Twitter for Android,1276353372803792897,a052855c6f317b04,0.0,2.0,8.0,0.0,,,
"Vereador bolsonarista, contra o isolamento social, testa positivo para covid e fica em pânico, tem alta de pressão e vai parar no hospital. Confere?",1086299945781641216,1276353372803792897,2020-06-26 03:15:32,Twitter for Android,1276353372803792897,a052855c6f317b04,0.0,2.0,8.0,0.0,981150463,,
"deviam procurar a vacina da covid aqui em arcos né da noite pro dia curaram 25 pessoas e ZERARAM os casos
só cai nessa quem quer https://t.co/x753gvFmYp",1126032702,1271125760582070272,2020-06-11 17:02:52,Twitter for Android,1271125760582070272,55bea3d6398b4329,1.0,1.0,6.0,0.0,,,
meu deus a quarentena inteira eu to bebendo e fumando e passando noites em claro e me alimentando super mal quando a covid me pegar n vai sobrar nem meu cu p contar história to malz https://t.co/6ngyZLnO1f,1126032702,1273228736456949766,2020-06-17 12:19:20,Twitter for Android,1273228736456949766,55bea3d6398b4329,0.0,0.0,0.0,0.0,,,
"arcos tá usando aquela tática que eh muito eficaz no combate ao corona vírus, o famoso se não faz teste ninguém dá positivo",1126032702,1298748368185786369,2020-08-26 22:25:15,Twitter for Android,1298748368185786369,660da292cca0c39a,0.0,0.0,6.0,0.0,,,
parabens den*lson enfia arcos no cu e roda minha vó tá c sintomas de covid e nao tem UM TESTE SEQUER disponível em arcos,1126032702,1298747954740826113,2020-08-26 22:23:36,Twitter for Android,1298747954740826113,660da292cca0c39a,0.0,0.0,0.0,0.0,,,
o lugar dos leitos emergenciais de formiga o trato eh o seguinte do covid TALVEZ voce se livre mas as ooooutras doenças que voce pegar por la ainda À COMBINAR,1126032702,1367231366279143430,2021-03-03 21:52:14,Twitter for Android,1367231366279143430,660da292cca0c39a,0.0,0.0,0.0,0.0,,,
muito arrependida de ter mudado pra formiga pois arcos ja encontrou a cura do covid,1126032702,1308783414749917187,2020-09-23 15:00:56,Twitter for Android,1308783414749917187,660da292cca0c39a,0.0,0.0,2.0,0.0,,,
tardezinha do covid quem vai,1126032702,1308790890929041411,2020-09-23 15:30:39,Twitter for Android,1308790890929041411,660da292cca0c39a,0.0,0.0,0.0,0.0,49358809,,
